scorer,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000
bodyparts,wrist,wrist,wrist,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,468.6945495605469,345.91888427734375,0.03366103768348694,474.4751892089844,268.5104064941406,0.9999105930328369,495.724365234375,271.1879577636719,0.9997987151145935,520.0320434570312,276.6432800292969,0.9996976256370544,539.662841796875,289.1501159667969,0.9999281167984009,490.5935974121094,165.8206024169922,0.9999316930770874,515.81689453125,144.34657287597656,0.999969482421875,543.0546875,155.9551544189453,0.9953745603561401,542.708251953125,212.7738494873047,0.0007564127445220947
1,470.05511474609375,345.91888427734375,0.9929103851318359,475.73052978515625,268.5104064941406,0.9999382495880127,497.0603332519531,271.1879577636719,0.9999617338180542,520.0320434570312,276.6432800292969,0.9992840886116028,540.918701171875,291.4915466308594,0.9998461008071899,490.6423034667969,165.99969482421875,0.9999939203262329,516.8800659179688,144.84649658203125,0.9999961853027344,543.0546875,157.4183349609375,0.9999649524688721,562.1032104492188,215.127197265625,0.0060017406940460205
2,470.05511474609375,349.5561828613281,0.00165635347366333,475.9529724121094,269.3013916015625,0.9999021291732788,497.2908630371094,272.02984619140625,0.9998838901519775,520.0320434570312,276.6977233886719,0.9996122121810913,540.918701171875,291.817138671875,0.9995474815368652,491.3275146484375,166.30555725097656,0.9999948740005493,516.8800659179688,145.76614379882812,0.9999984502792358,543.2612915039062,158.57012939453125,0.9975804090499878,562.615478515625,215.127197265625,0.9426528215408325
3,470.05511474609375,349.5561828613281,0.001593083143234253,476.444580078125,268.5104064941406,0.9999569654464722,497.4710388183594,272.0777587890625,0.9999758005142212,520.0320434570312,279.59588623046875,0.9998520612716675,540.918701171875,293.4189147949219,0.9965202808380127,490.6423034667969,166.30555725097656,0.9999995231628418,515.81689453125,146.66943359375,0.9999995827674866,543.2612915039062,159.57229614257812,0.9999957084655762,562.7925415039062,215.127197265625,0.9990341663360596
4,470.05511474609375,349.5561828613281,0.30017489194869995,476.444580078125,268.5104064941406,0.9999808073043823,497.72491455078125,272.0777587890625,0.999991774559021,520.6084594726562,277.3449401855469,0.9999639987945557,540.918701171875,291.817138671875,0.9999618530273438,491.2374267578125,166.65394592285156,0.9999996423721313,515.81689453125,146.66943359375,0.9999998211860657,543.0546875,159.57229614257812,0.9999911785125732,562.7925415039062,215.24893188476562,0.7520936131477356
5,499.1899108886719,284.5061950683594,0.018047243356704712,476.444580078125,267.6113586425781,0.9999721646308899,497.72491455078125,272.0777587890625,0.9999507665634155,520.5759887695312,278.5373840332031,0.9998698234558105,540.918701171875,292.91864013671875,0.9999686479568481,491.00665283203125,166.8516387939453,0.9999958872795105,516.5475463867188,147.15480041503906,0.9999992847442627,542.9508666992188,159.57229614257812,0.9999966621398926,563.5721435546875,215.127197265625,0.9982806444168091
6,470.3799133300781,350.0788879394531,0.002085059881210327,476.444580078125,269.8145446777344,0.9998134970664978,497.7047424316406,273.3338623046875,0.9997701644897461,520.5759887695312,279.0917053222656,0.9992786049842834,540.4845581054688,293.4189147949219,0.9897109270095825,491.00665283203125,166.8516387939453,0.9999971389770508,516.4031982421875,147.22598266601562,0.9999963045120239,543.2577514648438,159.86807250976562,0.9995976686477661,562.7925415039062,215.28880310058594,0.2449330985546112
7,470.3799133300781,349.6944885253906,0.000578075647354126,476.961669921875,268.3988037109375,0.9999645948410034,497.76019287109375,272.0777587890625,0.999978244304657,520.5759887695312,278.5373840332031,0.9999198913574219,540.9862670898438,292.91864013671875,0.9999562501907349,491.00665283203125,166.65394592285156,0.9999977350234985,516.4031982421875,147.22598266601562,0.9999995231628418,542.9508666992188,159.86807250976562,0.9999564290046692,563.0181884765625,215.28880310058594,0.9851257801055908
8,474.96905517578125,341.68536376953125,0.443131685256958,475.510009765625,270.16754150390625,0.9999649524688721,497.76019287109375,274.2794189453125,0.9999887943267822,520.3966064453125,278.5373840332031,0.9999808073043823,540.964111328125,292.91864013671875,0.9999812841415405,491.00665283203125,166.65394592285156,0.9999979734420776,516.4031982421875,147.22598266601562,0.9999994039535522,542.3445434570312,160.8568115234375,0.9999634027481079,563.0181884765625,215.13565063476562,0.9980803728103638
9,474.96905517578125,341.68536376953125,0.004015326499938965,477.2750244140625,269.20794677734375,0.9999583959579468,497.9931945800781,273.1142883300781,0.999948263168335,520.3966064453125,278.5373840332031,0.9998489618301392,540.9862670898438,292.91864013671875,0.999285876750946,490.89447021484375,166.8516387939453,0.9999984502792358,516.3505859375,147.56643676757812,0.9999988079071045,542.9508666992188,160.9200897216797,0.99989914894104,563.1283569335938,214.54034423828125,0.9916496276855469
10,472.0130920410156,347.2380065917969,0.9924086332321167,477.2750244140625,270.49969482421875,0.9999761581420898,497.7047424316406,274.0532531738281,0.9999716281890869,520.3966064453125,279.0917053222656,0.9999507069587708,540.964111328125,294.55657958984375,0.9999841451644897,490.8411865234375,168.65151977539062,0.999994158744812,516.0338134765625,147.9346923828125,0.9999990463256836,542.3445434570312,161.27865600585938,0.9993705749511719,563.1283569335938,214.7670440673828,0.6691718101501465
11,474.96905517578125,341.68536376953125,0.0011260509490966797,477.3825378417969,270.49969482421875,0.9998809099197388,497.2843017578125,274.0532531738281,0.9999666810035706,520.9758911132812,280.6407470703125,0.9999417066574097,540.9862670898438,294.55657958984375,0.9999667406082153,490.7464294433594,168.65151977539062,0.9999971389770508,516.0338134765625,148.2956085205078,0.9999998807907104,542.3445434570312,161.27865600585938,0.9999992847442627,563.1283569335938,214.7670440673828,0.9971685409545898
12,475.47198486328125,341.68536376953125,0.031866997480392456,477.2750244140625,270.49969482421875,0.9999717473983765,497.2843017578125,274.0532531738281,0.999977707862854,521.0183715820312,280.6407470703125,0.9998970031738281,541.8460083007812,294.55657958984375,0.9999762177467346,490.3840637207031,168.96971130371094,0.9999943971633911,516.3505859375,148.2956085205078,0.9999994039535522,542.5555419921875,161.49537658691406,0.9999878406524658,563.8682250976562,214.7670440673828,0.9999435544013977
13,475.47198486328125,342.9501647949219,0.15227416157722473,477.2750244140625,270.49969482421875,0.9999314546585083,497.2843017578125,274.0532531738281,0.999485194683075,521.0183715820312,282.30352783203125,0.9285917282104492,541.8460083007812,294.6793518066406,0.981608510017395,490.7464294433594,168.65151977539062,0.9999982118606567,516.552978515625,149.31919860839844,0.9999997615814209,542.5555419921875,162.1582794189453,0.9999991059303284,564.1283569335938,214.78775024414062,0.9998454451560974
14,472.0130920410156,347.2380065917969,0.12875795364379883,477.1750183105469,270.49969482421875,0.9999181032180786,497.2843017578125,274.0532531738281,0.9999669194221497,521.0183715820312,282.30352783203125,0.9999700784683228,541.8460083007812,295.2403259277344,0.9998860359191895,490.7464294433594,168.65151977539062,0.9999946355819702,517.06640625,149.31919860839844,0.9999997019767761,542.5555419921875,162.981689453125,0.9999966621398926,564.1283569335938,216.7957305908203,0.9997871518135071
15,470.5936279296875,350.06317138671875,0.015769153833389282,477.1750183105469,270.04827880859375,0.9999725818634033,496.8648376464844,273.2581787109375,0.999932050704956,520.7640380859375,279.65087890625,0.998977541923523,542.1386108398438,294.6793518066406,0.9879270792007446,490.55499267578125,170.40689086914062,0.9999963045120239,517.06640625,149.664306640625,0.9999995827674866,542.8915405273438,162.981689453125,0.9999945163726807,563.8682250976562,216.7957305908203,0.9999011754989624
16,470.5936279296875,350.06317138671875,0.14403429627418518,477.1750183105469,270.04827880859375,0.9999808073043823,496.8648376464844,273.2581787109375,0.999994158744812,520.7640380859375,279.0731506347656,0.9999302625656128,542.2353515625,293.12261962890625,0.9997745752334595,490.8592529296875,170.61328125,0.9999904036521912,517.06640625,149.664306640625,0.9999987483024597,543.2733764648438,162.8558807373047,0.9999974966049194,564.1283569335938,216.7957305908203,0.013909995555877686
17,470.5936279296875,350.06317138671875,0.01737084984779358,477.1908874511719,270.1126403808594,0.9999721050262451,496.8648376464844,274.031494140625,0.9998774528503418,520.7640380859375,279.65087890625,0.998315691947937,542.2353515625,296.4992980957031,0.9993983507156372,491.110107421875,170.61328125,0.9999912977218628,516.8740844726562,150.10394287109375,0.9999990463256836,543.5392456054688,162.981689453125,0.9993066787719727,564.6075439453125,216.7957305908203,0.9923914670944214
18,469.0939636230469,350.06317138671875,0.0020720362663269043,477.1908874511719,270.1126403808594,0.9999707937240601,497.5403747558594,274.031494140625,0.9998306035995483,521.1939697265625,279.65087890625,0.9898132085800171,542.2353515625,296.4992980957031,0.9768571853637695,490.8592529296875,171.27008056640625,0.9999897480010986,516.7562866210938,150.3653564453125,0.9999992847442627,543.5392456054688,162.8558807373047,0.9999992251396179,564.6075439453125,216.7957305908203,0.9991687536239624
19,473.8199462890625,349.1818542480469,0.9894568920135498,477.1908874511719,271.6187438964844,0.9999960660934448,497.5084533691406,274.8240051269531,0.9999979138374329,521.1939697265625,279.8471984863281,0.9999904632568359,541.193603515625,293.2845153808594,0.9999762773513794,490.68218994140625,172.6061248779297,0.9999943971633911,516.550537109375,150.6251220703125,0.9999990463256836,543.2733764648438,162.8558807373047,0.9999680519104004,564.09423828125,217.2926025390625,0.9999872446060181
20,508.3700256347656,285.6981506347656,0.09203502535820007,476.84747314453125,272.5124206542969,0.9999822378158569,499.59344482421875,275.3974914550781,0.9999938011169434,521.5780029296875,280.9450988769531,0.9999678134918213,541.193603515625,296.4992980957031,0.9997860193252563,491.23553466796875,171.59011840820312,0.999947190284729,516.550537109375,150.6251220703125,0.9999995231628418,543.2733764648438,163.18458557128906,0.9999806880950928,564.09423828125,219.26490783691406,0.999808669090271
21,473.8199462890625,349.1818542480469,0.0008183419704437256,476.84747314453125,272.5124206542969,0.9999449253082275,499.59344482421875,275.3974914550781,0.9999550580978394,521.1939697265625,280.9450988769531,0.9994699954986572,541.193603515625,296.649169921875,0.9994775056838989,491.23553466796875,172.6061248779297,0.9999986886978149,516.550537109375,150.66639709472656,0.9999997019767761,543.5392456054688,163.18458557128906,0.9999679327011108,563.2677612304688,219.26490783691406,0.9989296197891235
22,471.0389099121094,348.8210144042969,0.001274198293685913,476.84747314453125,272.29656982421875,0.9999758005142212,499.0276794433594,276.66986083984375,0.999974250793457,521.1939697265625,283.4855041503906,0.9999165534973145,540.3973999023438,298.98651123046875,0.999693751335144,491.23553466796875,172.67919921875,0.9999936819076538,516.8560791015625,150.3653564453125,0.9999994039535522,543.6071166992188,163.09457397460938,0.99998939037323,563.2677612304688,219.26490783691406,0.9863042831420898
23,475.8635559082031,348.8210144042969,0.002841949462890625,477.3934020996094,272.5124206542969,0.999980092048645,499.0276794433594,276.66986083984375,0.9999596476554871,520.879150390625,281.4659423828125,0.9997894763946533,541.2192993164062,296.649169921875,0.9992625713348389,491.23553466796875,172.67919921875,0.9999865889549255,517.3202514648438,150.9642791748047,0.9999988079071045,543.6071166992188,163.18458557128906,0.9999995231628418,563.2677612304688,219.26490783691406,0.9964978694915771
24,475.6072998046875,348.8210144042969,0.005788594484329224,477.3934020996094,273.22442626953125,0.9999825358390808,499.0276794433594,277.2469482421875,0.9999920129776001,520.879150390625,283.3285217285156,0.9999768733978271,541.877685546875,298.98651123046875,0.999943733215332,491.7489929199219,172.67919921875,0.9999725818634033,517.3202514648438,150.9642791748047,0.9999998807907104,543.6071166992188,164.10777282714844,0.9999995231628418,563.1815185546875,217.4683074951172,0.9998024702072144
25,475.6072998046875,348.8210144042969,0.9969414472579956,477.72259521484375,272.29656982421875,0.9999942183494568,498.67022705078125,275.4306945800781,0.9999961853027344,520.6939697265625,282.36956787109375,0.9999736547470093,541.4420166015625,296.649169921875,0.9998828172683716,491.7489929199219,173.56532287597656,0.9999953508377075,517.3202514648438,150.9642791748047,0.9999997615814209,543.4611206054688,165.90087890625,0.9999983906745911,563.1815185546875,217.45834350585938,0.9875433444976807
26,475.6072998046875,344.8895263671875,0.025175392627716064,477.55499267578125,272.29656982421875,0.9999839067459106,498.67022705078125,277.5550842285156,0.9999735355377197,520.1815795898438,283.3285217285156,0.9997963905334473,541.2192993164062,299.7109680175781,0.9998071193695068,491.3165283203125,173.56532287597656,0.9999947547912598,517.5046997070312,150.9642791748047,0.9999996423721313,543.4611206054688,165.90087890625,0.9999982118606567,563.5608520507812,217.4683074951172,0.9999160766601562
27,475.6072998046875,344.8895263671875,0.005864590406417847,477.55499267578125,273.7065124511719,0.9999794960021973,498.67022705078125,277.9532165527344,0.9999601244926453,520.1815795898438,283.2902526855469,0.9993354082107544,541.2192993164062,298.68707275390625,0.9983570575714111,491.2082824707031,173.56532287597656,0.9999976754188538,517.5046997070312,151.41099548339844,0.9999995231628418,543.0912475585938,166.0635986328125,0.9999997019767761,563.5608520507812,217.65037536621094,0.9997888803482056
28,475.6072998046875,340.3621520996094,0.004915058612823486,476.47540283203125,273.7065124511719,0.9999867677688599,498.4710998535156,278.1863708496094,0.9999904036521912,519.8253784179688,283.3285217285156,0.9999315738677979,540.48193359375,300.61871337890625,0.9992265701293945,491.3165283203125,173.56532287597656,0.9999990463256836,516.9819946289062,151.41099548339844,0.999999463558197,543.4611206054688,166.0635986328125,0.9999995827674866,563.56884765625,217.65037536621094,0.9996305704116821
29,475.2210998535156,340.3621520996094,0.05230134725570679,476.647216796875,275.9533996582031,0.9999886751174927,498.4710998535156,278.7946472167969,0.9999946355819702,520.1815795898438,284.0658874511719,0.9999774694442749,540.48193359375,298.68707275390625,0.99970543384552,491.3165283203125,173.2861785888672,0.9999991059303284,517.3729858398438,152.23721313476562,0.9999997615814209,543.6683959960938,165.90087890625,0.9999997615814209,563.5758666992188,220.07179260253906,0.9999927282333374
30,475.2210998535156,340.3621520996094,0.0006891191005706787,476.2044982910156,276.1259460449219,0.9999816417694092,498.06988525390625,280.245849609375,0.9998997449874878,519.833740234375,284.9136657714844,0.9999691247940063,540.48193359375,300.0041198730469,0.9999557733535767,491.54132080078125,173.2861785888672,0.9999944567680359,517.3729858398438,152.23721313476562,0.9999995231628418,544.4908447265625,165.82565307617188,0.999972939491272,563.8878784179688,220.29669189453125,0.9998476505279541
31,507.5228576660156,287.646728515625,0.8111519813537598,476.2044982910156,276.1259460449219,0.99998939037323,498.06988525390625,280.245849609375,0.9997815489768982,521.1690063476562,284.0658874511719,0.9989947080612183,540.6068725585938,298.68707275390625,0.999336838722229,491.54132080078125,171.9823455810547,0.9999985098838806,517.3729858398438,151.60716247558594,0.9999998807907104,543.960205078125,165.82565307617188,0.9999995231628418,563.8878784179688,220.59793090820312,0.2928415536880493
32,508.119873046875,285.7668151855469,0.000808030366897583,476.09600830078125,275.9533996582031,0.9999874830245972,496.9808349609375,280.245849609375,0.9999558925628662,521.2874755859375,284.9136657714844,0.9999148845672607,542.23974609375,300.0041198730469,0.9975926876068115,491.54132080078125,173.2861785888672,0.9999992847442627,517.4415283203125,151.60716247558594,0.9999995827674866,543.960205078125,165.47369384765625,0.9999995827674866,563.8878784179688,220.59793090820312,0.9997990131378174
33,508.119873046875,285.7668151855469,0.0007197260856628418,476.09600830078125,275.9533996582031,0.9999885559082031,496.9808349609375,280.245849609375,0.999990701675415,521.2874755859375,284.9136657714844,0.9999649524688721,542.23974609375,300.0041198730469,0.9994128346443176,491.5393981933594,173.66323852539062,0.999991774559021,517.7796630859375,152.37554931640625,0.9999995827674866,543.960205078125,165.47369384765625,0.9999997615814209,563.2666625976562,220.59793090820312,0.9999897480010986
34,508.119873046875,285.7668151855469,0.0008878409862518311,475.6522521972656,276.7935485839844,0.9999828934669495,496.25555419921875,280.245849609375,0.9997730851173401,519.833740234375,285.618408203125,0.9921281933784485,541.9393310546875,300.10595703125,0.99077308177948,491.5393981933594,174.34288024902344,0.9999979734420776,517.7796630859375,153.0058135986328,0.9999995231628418,543.2786865234375,165.82565307617188,0.9999966621398926,562.8610229492188,220.59793090820312,0.9999700784683228
35,501.2517395019531,301.10772705078125,0.17837423086166382,476.09600830078125,273.7586364746094,0.999991774559021,496.9808349609375,279.76239013671875,0.999984860420227,521.2874755859375,285.618408203125,0.9999960660934448,542.3319091796875,300.10595703125,0.9999367594718933,491.5393981933594,174.34288024902344,0.9999985098838806,517.8233032226562,153.0058135986328,0.9999997615814209,543.2786865234375,167.70480346679688,0.999997615814209,562.8610229492188,220.75917053222656,0.9972207546234131
36,475.2410888671875,348.3420104980469,0.006461381912231445,476.09600830078125,275.28741455078125,0.9999535083770752,496.9808349609375,279.76239013671875,0.9945093989372253,519.5776977539062,285.618408203125,0.7415997385978699,541.9393310546875,300.10595703125,0.5558958053588867,491.5393981933594,175.216552734375,0.9999987483024597,517.6474609375,153.3101043701172,0.999998927116394,542.579833984375,167.7232208251953,0.9999685287475586,562.8610229492188,219.82289123535156,0.9986575245857239
37,475.2079162597656,348.56719970703125,0.997568666934967,476.28729248046875,277.3479309082031,0.9999834299087524,498.0964050292969,281.6469421386719,0.9999899864196777,519.3773193359375,286.9625244140625,0.9998542070388794,540.411865234375,301.1478271484375,0.9995766878128052,492.0586853027344,175.216552734375,0.999997615814209,517.8233032226562,154.04173278808594,0.9999990463256836,543.2786865234375,167.83763122558594,0.9999991655349731,562.9994506835938,221.71470642089844,0.9999380707740784
38,475.2079162597656,350.87158203125,0.9941524863243103,476.37115478515625,277.3479309082031,0.9999866485595703,498.0964050292969,281.6469421386719,0.9999940991401672,519.3773193359375,286.9625244140625,0.9999762773513794,540.411865234375,301.1478271484375,0.9996237754821777,492.0586853027344,175.57577514648438,0.9999985694885254,517.9093017578125,154.04173278808594,0.9999994039535522,542.579833984375,167.83763122558594,0.9999990463256836,564.7268676757812,221.71470642089844,0.9998766183853149
39,471.6830139160156,352.6813659667969,0.9918915033340454,476.4066467285156,275.28741455078125,0.9999915361404419,499.3449401855469,279.2640686035156,0.9999901056289673,519.5776977539062,286.9625244140625,0.9999768733978271,540.3527221679688,303.25390625,0.9999499917030334,492.2024841308594,175.48548889160156,0.9999927282333374,517.9093017578125,154.04173278808594,0.9999968409538269,543.298583984375,167.83763122558594,0.9999918937683105,564.7268676757812,222.94691467285156,0.9999923706054688
40,470.9960021972656,356.46942138671875,0.0018659532070159912,476.4779052734375,277.0404357910156,0.9999921321868896,498.0964050292969,281.51458740234375,0.9999608993530273,519.5776977539062,286.9625244140625,0.9999700784683228,540.3527221679688,303.25390625,0.9999809265136719,491.281005859375,175.57577514648438,0.9999996423721313,517.9093017578125,154.04173278808594,0.9999992847442627,543.298583984375,168.6566162109375,0.9999973773956299,563.8436279296875,224.30245971679688,0.9999564290046692
