scorer,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000
bodyparts,wrist,wrist,wrist,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,0.5301535129547119,697.8700561523438,5.960464477539063e-08,1.550328016281128,6.022146224975586,1.519918441772461e-06,-6.805834770202637,4.385137557983398,1.4901161193847656e-06,1.5360045433044434,-2.467663288116455,2.9802322387695312e-08,5.769328594207764,0.44789958000183105,0.0,3.174506425857544,3.4192352294921875,2.086162567138672e-06,-1.479271411895752,2.372838020324707,6.258487701416016e-07,0.1870863437652588,-2.9291329383850098,3.9637088775634766e-06,-1.8073840141296387,-2.687819480895996,4.172325134277344e-07
1,2.0065200328826904,-0.9370183944702148,8.940696716308594e-08,1.6156315803527832,5.722673416137695,1.0132789611816406e-06,-7.898134231567383,5.852385997772217,1.2218952178955078e-06,0.09983372688293457,-3.8127036094665527,2.9802322387695312e-08,4.995975971221924,-0.529320240020752,0.0,3.259610652923584,2.1801037788391113,1.1026859283447266e-06,-1.6932311058044434,1.4947986602783203,6.258487701416016e-07,0.7368853092193604,-3.0863680839538574,4.26173210144043e-06,-1.904067039489746,-2.497985363006592,1.7881393432617188e-07
2,2.0122694969177246,-1.4695849418640137,0.0,1.3117287158966064,5.217301368713379,7.450580596923828e-07,-7.4828081130981445,4.295427322387695,1.0728836059570312e-06,1.1593258380889893,-2.9430694580078125,8.940696716308594e-08,5.966669082641602,-0.3546786308288574,0.0,2.7317731380462646,3.8938822746276855,9.834766387939453e-07,-1.2534942626953125,2.2992208003997803,4.470348358154297e-07,-0.039424896240234375,-2.792008876800537,1.8775463104248047e-06,-2.6962904930114746,-2.4747838973999023,1.4901161193847656e-07
3,-0.9349875450134277,554.6796875,1.4901161193847656e-07,1.0958075523376465,4.426389217376709,7.748603820800781e-07,-7.765746116638184,5.764132499694824,7.748603820800781e-07,1.1138417720794678,-2.36783504486084,2.9802322387695312e-08,6.668428421020508,0.12056851387023926,0.0,3.2552738189697266,2.371908664703369,9.834766387939453e-07,-1.4817419052124023,3.12996506690979,4.76837158203125e-07,-1.210963249206543,-3.2451324462890625,1.817941665649414e-06,-1.8847885131835938,-1.2106595039367676,2.682209014892578e-07
4,2.284057855606079,-2.6098761558532715,0.0,1.4785730838775635,5.456751346588135,7.748603820800781e-07,-7.917535781860352,5.7629008293151855,9.5367431640625e-07,1.0707175731658936,-2.8338623046875,0.0,6.722344398498535,-0.5044546127319336,0.0,3.063535690307617,3.2835323810577393,1.6689300537109375e-06,-1.5577831268310547,2.526742458343506,5.662441253662109e-07,0.6406071186065674,-3.883918285369873,1.9371509552001953e-06,-0.717461109161377,-3.031216621398926,2.980232238769531e-07
5,2.345770835876465,-0.8032546043395996,8.940696716308594e-08,1.9868426322937012,6.96518611907959,1.0132789611816406e-06,-6.616144180297852,3.927248954772949,1.1026859283447266e-06,0.49086952209472656,-2.5206351280212402,5.960464477539063e-08,4.467428684234619,-0.583439826965332,0.0,3.1447432041168213,3.9351563453674316,1.8775463104248047e-06,-0.8716692924499512,2.276597499847412,5.960464477539062e-07,0.8621561527252197,-2.7371978759765625,3.5762786865234375e-06,-3.1277318000793457,-1.9159607887268066,1.4901161193847656e-07
6,2.6776599884033203,-1.538999080657959,8.940696716308594e-08,1.0979278087615967,5.8115925788879395,7.748603820800781e-07,-7.5804443359375,4.221269607543945,8.642673492431641e-07,1.3175485134124756,-3.2078166007995605,0.0,5.987481594085693,0.16643476486206055,0.0,2.7092063426971436,3.133261203765869,9.238719940185547e-07,-1.5377187728881836,2.230987310409546,4.172325134277344e-07,-0.23367595672607422,-2.656689167022705,2.8312206268310547e-06,-2.7896957397460938,-2.6210694313049316,1.7881393432617188e-07
7,1.5476455688476562,-1.454157829284668,8.940696716308594e-08,1.750833511352539,5.745151042938232,8.344650268554688e-07,-7.775849342346191,5.651039123535156,1.1026859283447266e-06,0.2555835247039795,-2.188368320465088,2.9802322387695312e-08,5.12686824798584,1.005183219909668,0.0,4.003573417663574,4.023928642272949,1.7881393432617188e-06,-1.0310168266296387,2.386688470840454,7.748603820800781e-07,0.3803279399871826,-2.779003620147705,2.7120113372802734e-06,-2.7564377784729004,-2.3219547271728516,4.172325134277344e-07
8,0.3759174346923828,570.2943725585938,5.960464477539063e-08,1.535810947418213,5.485682487487793,1.0132789611816406e-06,-7.687654495239258,4.747908592224121,8.642673492431641e-07,0.9920902252197266,-3.451998710632324,0.0,6.274228096008301,-0.719202995300293,0.0,3.5064327716827393,2.4572391510009766,1.0728836059570312e-06,-1.4695672988891602,2.5020837783813477,4.172325134277344e-07,-0.15426111221313477,-3.096404552459717,2.473592758178711e-06,-2.0913562774658203,-1.6543688774108887,1.7881393432617188e-07
9,-0.6282801628112793,218.58665466308594,8.940696716308594e-08,1.3178715705871582,5.85484504699707,3.5762786865234375e-07,-8.885908126831055,5.576404571533203,3.8743019104003906e-07,-0.31180763244628906,-3.227194309234619,0.0,7.314507484436035,0.9179279804229736,0.0,3.3562676906585693,2.7869396209716797,7.748603820800781e-07,-1.3589105606079102,2.295161247253418,4.172325134277344e-07,-1.1365680694580078,-2.587486743927002,1.4901161193847656e-06,-2.8391976356506348,-2.497293472290039,1.7881393432617188e-07
10,1.9709935188293457,-1.164504051208496,2.9802322387695312e-08,1.398885726928711,7.263329029083252,6.854534149169922e-07,-6.787220001220703,3.9295878410339355,1.1026859283447266e-06,1.3519349098205566,-1.7012600898742676,0.0,5.750096321105957,0.9162423610687256,0.0,2.3790664672851562,3.7635045051574707,1.5795230865478516e-06,-0.7702102661132812,2.499629497528076,5.364418029785156e-07,-1.0132336616516113,-2.8620781898498535,2.4139881134033203e-06,-2.952395439147949,-2.927684783935547,2.384185791015625e-07
11,-1.7532453536987305,346.3484191894531,1.1920928955078125e-07,1.4839451313018799,4.082469940185547,8.940696716308594e-07,-7.260507583618164,4.774640083312988,1.341104507446289e-06,1.152703046798706,-2.704378604888916,2.9802322387695312e-08,6.027245044708252,-0.3319425582885742,0.0,2.626814842224121,3.5192532539367676,1.3113021850585938e-06,-1.2679638862609863,2.3169445991516113,6.854534149169922e-07,-0.6063756942749023,-2.878894805908203,2.562999725341797e-06,-1.9400568008422852,-2.4781856536865234,1.1920928955078125e-07
12,1.4069862365722656,-1.8309054374694824,8.940696716308594e-08,1.2696607112884521,6.436594009399414,8.344650268554688e-07,-7.126863479614258,4.574291229248047,9.834766387939453e-07,0.9231925010681152,-2.2181520462036133,2.9802322387695312e-08,6.234953880310059,-0.11117887496948242,0.0,3.3807170391082764,3.396925449371338,1.0728836059570312e-06,-0.8682937622070312,2.5765018463134766,4.172325134277344e-07,-0.34888553619384766,-3.0051050186157227,1.9371509552001953e-06,-2.405452251434326,-1.9081296920776367,2.384185791015625e-07
13,-1.6597771644592285,553.4352416992188,1.1920928955078125e-07,1.6782500743865967,5.805683135986328,1.1920928955078125e-06,-7.49174690246582,4.154910087585449,1.1026859283447266e-06,0.18789339065551758,-1.6790404319763184,0.0,6.518885612487793,1.0488736629486084,0.0,3.550290107727051,2.9685373306274414,1.4603137969970703e-06,-0.37363147735595703,3.172423839569092,6.258487701416016e-07,-0.0826864242553711,-3.1417126655578613,2.7120113372802734e-06,-2.596499443054199,-2.1438331604003906,2.086162567138672e-07
14,-0.1555185317993164,714.3367919921875,5.960464477539063e-08,1.8383946418762207,5.3042497634887695,8.344650268554688e-07,-8.34628677368164,5.262128829956055,8.642673492431641e-07,0.688819408416748,-2.4206862449645996,0.0,6.138071060180664,0.3617401123046875,0.0,2.554439067840576,2.800325393676758,1.1324882507324219e-06,-1.8349885940551758,2.6325528621673584,3.5762786865234375e-07,-0.6702876091003418,-3.206481456756592,2.2351741790771484e-06,-1.976480484008789,-1.8880281448364258,1.4901161193847656e-07
15,2.0787856578826904,-1.1944937705993652,2.9802322387695312e-08,0.7992486953735352,6.232233047485352,4.172325134277344e-07,-7.740189552307129,4.366117477416992,5.662441253662109e-07,1.1595654487609863,-2.248239040374756,0.0,6.319700717926025,0.28629302978515625,0.0,2.929661750793457,3.817913770675659,9.238719940185547e-07,-1.4224343299865723,2.581486940383911,3.5762786865234375e-07,-1.1449189186096191,-2.8936777114868164,1.341104507446289e-06,-3.1278977394104004,-1.6606311798095703,1.7881393432617188e-07
16,-1.1311531066894531,537.7477416992188,8.940696716308594e-08,1.3001573085784912,5.02562952041626,8.940696716308594e-07,-8.109339714050293,5.252180099487305,8.344650268554688e-07,0.7704086303710938,-2.983901023864746,2.9802322387695312e-08,5.692610740661621,0.2977430820465088,0.0,3.333477258682251,2.765531301498413,1.043081283569336e-06,-1.874544620513916,1.9098460674285889,4.172325134277344e-07,0.3113844394683838,-3.5146636962890625,2.1457672119140625e-06,-2.106688976287842,-2.853074073791504,2.384185791015625e-07
17,1.8347923755645752,-0.35556602478027344,0.0,1.727320909500122,5.728773593902588,6.258487701416016e-07,-7.405208587646484,4.6946916580200195,9.834766387939453e-07,0.9815285205841064,-2.2423534393310547,2.9802322387695312e-08,6.109477519989014,0.34427571296691895,0.0,2.542646884918213,3.7605764865875244,9.238719940185547e-07,-1.082509994506836,2.318948268890381,4.76837158203125e-07,-1.6411733627319336,-2.7849268913269043,1.6093254089355469e-06,-2.832289218902588,-2.9103012084960938,8.940696716308594e-08
18,-0.2696819305419922,140.0105438232422,8.940696716308594e-08,1.587224006652832,5.667064189910889,8.344650268554688e-07,-7.987471580505371,6.076164722442627,1.1622905731201172e-06,0.8953406810760498,-2.2515015602111816,5.960464477539063e-08,5.4366302490234375,-0.0884695053100586,0.0,2.86908221244812,3.1019835472106934,1.9669532775878906e-06,-0.818943977355957,2.726882219314575,9.834766387939453e-07,0.21475434303283691,-3.163389205932617,1.9073486328125e-06,-2.017787456512451,-2.477797031402588,3.5762786865234375e-07
19,-0.984471321105957,474.185546875,2.682209014892578e-07,1.5915296077728271,6.025835037231445,6.854534149169922e-07,-7.207383155822754,3.9964163303375244,7.748603820800781e-07,0.7785847187042236,-2.5095295906066895,0.0,6.106505393981934,0.1483442783355713,0.0,2.83504581451416,3.698817014694214,7.152557373046875e-07,-1.1763648986816406,3.021800994873047,4.470348358154297e-07,-0.060527801513671875,-2.4588546752929688,2.205371856689453e-06,-2.521277904510498,-0.9929065704345703,1.1920928955078125e-07
20,2.332688570022583,-1.1496119499206543,8.940696716308594e-08,1.4507083892822266,6.3168840408325195,1.1622905731201172e-06,-6.981822967529297,4.610278129577637,1.2516975402832031e-06,1.0192325115203857,-2.786693572998047,2.9802322387695312e-08,5.041006565093994,0.3388655185699463,0.0,3.6780476570129395,3.157113552093506,1.6987323760986328e-06,-1.1172075271606445,2.401106834411621,5.364418029785156e-07,0.26938509941101074,-2.9989190101623535,2.950429916381836e-06,-2.5222415924072266,-2.422227382659912,2.682209014892578e-07
21,-0.4587874412536621,346.5035705566406,8.940696716308594e-08,1.0228774547576904,5.515014171600342,6.854534149169922e-07,-6.845701217651367,4.842650890350342,1.1026859283447266e-06,1.2161407470703125,-2.459202289581299,5.960464477539063e-08,6.742491722106934,0.7957684993743896,0.0,3.011718273162842,4.5370774269104,1.2218952178955078e-06,-1.0552763938903809,2.5374388694763184,5.960464477539062e-07,-1.1650714874267578,-2.117516040802002,1.5497207641601562e-06,-2.459847927093506,-1.8998804092407227,2.980232238769531e-07
22,1.1935162544250488,-0.5573749542236328,8.940696716308594e-08,1.9104747772216797,5.2571916580200195,1.9371509552001953e-06,-7.342669486999512,5.19896936416626,2.205371856689453e-06,0.8051159381866455,-1.8357319831848145,8.940696716308594e-08,5.857196807861328,-0.1441655158996582,0.0,3.1872806549072266,2.2358052730560303,2.115964889526367e-06,-0.38340091705322266,2.582679271697998,9.238719940185547e-07,0.027419090270996094,-3.7015419006347656,3.129243850708008e-06,-1.5399103164672852,-2.124203681945801,3.5762786865234375e-07
23,0.07712554931640625,523.0004272460938,5.960464477539063e-08,1.1104705333709717,6.301079750061035,8.344650268554688e-07,-7.933660507202148,4.040439128875732,9.5367431640625e-07,0.8083043098449707,-2.6632943153381348,0.0,6.628067970275879,0.09823489189147949,0.0,2.954756021499634,2.944977283477783,8.344650268554688e-07,-0.8676748275756836,2.6056063175201416,5.066394805908203e-07,-0.25363731384277344,-2.6936731338500977,2.771615982055664e-06,-2.9040918350219727,-1.6029930114746094,2.384185791015625e-07
24,1.549335241317749,-1.9264683723449707,5.960464477539063e-08,1.3233437538146973,5.905574798583984,8.046627044677734e-07,-7.279606819152832,4.686942100524902,8.344650268554688e-07,0.8730559349060059,-2.109679698944092,0.0,5.651454925537109,-0.2680697441101074,0.0,3.6606380939483643,3.3916752338409424,1.3113021850585938e-06,-1.2895832061767578,2.751558780670166,2.980232238769531e-07,0.08415508270263672,-3.082833766937256,3.069639205932617e-06,-2.536869525909424,-2.2686209678649902,1.1920928955078125e-07
25,2.1475560665130615,-0.3129997253417969,2.9802322387695312e-08,1.7470903396606445,5.988327980041504,1.1622905731201172e-06,-7.7891340255737305,4.381886959075928,1.2516975402832031e-06,0.9845831394195557,-1.8365168571472168,0.0,6.083652496337891,0.9066455364227295,0.0,3.1403756141662598,3.8211288452148438,1.7285346984863281e-06,-0.6030306816101074,2.6144394874572754,6.258487701416016e-07,-0.4401993751525879,-3.114464282989502,2.7418136596679688e-06,-2.46213436126709,-2.5457963943481445,2.682209014892578e-07
26,-0.016213417053222656,570.6815795898438,2.9802322387695312e-08,1.5639359951019287,5.753833770751953,5.662441253662109e-07,-8.155074119567871,6.410462379455566,5.066394805908203e-07,0.8675479888916016,-3.2214508056640625,0.0,5.814830780029297,-0.13405132293701172,0.0,3.3933184146881104,2.924654006958008,8.046627044677734e-07,-1.3907661437988281,2.1852221488952637,2.980232238769531e-07,-0.8988056182861328,-3.0212035179138184,1.430511474609375e-06,-2.145691394805908,-3.320934295654297,2.384185791015625e-07
27,-1.376288890838623,426.4737854003906,2.9802322387695312e-08,1.2051572799682617,5.341355800628662,8.046627044677734e-07,-7.504438400268555,4.482342720031738,8.940696716308594e-07,1.4071900844573975,-3.4255013465881348,2.9802322387695312e-08,6.225433349609375,-0.5438804626464844,0.0,2.7475574016571045,2.5135605335235596,8.344650268554688e-07,-1.4004592895507812,2.389171600341797,3.2782554626464844e-07,-0.8056554794311523,-3.259103775024414,2.3245811462402344e-06,-1.780214786529541,-1.9729223251342773,1.1920928955078125e-07
28,1.7978160381317139,-0.7025079727172852,8.940696716308594e-08,1.220550775527954,5.525814056396484,8.344650268554688e-07,-7.275653839111328,4.522716045379639,9.834766387939453e-07,1.3736281394958496,-2.3701324462890625,0.0,6.65755033493042,-0.4202561378479004,0.0,3.7889771461486816,3.1749236583709717,1.0132789611816406e-06,-0.760279655456543,2.5662035942077637,5.662441253662109e-07,-0.9144172668457031,-2.4888529777526855,2.205371856689453e-06,-2.3561019897460938,-1.9800314903259277,1.4901161193847656e-07
29,-0.8563423156738281,202.1865997314453,1.1920928955078125e-07,1.8706855773925781,5.525060653686523,6.854534149169922e-07,-7.928238868713379,6.055630683898926,8.940696716308594e-07,0.4226663112640381,-2.882815361022949,2.9802322387695312e-08,6.365169525146484,0.5296895503997803,0.0,3.1875691413879395,3.707962989807129,1.0728836059570312e-06,-1.484489917755127,1.95247483253479,6.258487701416016e-07,-0.7873077392578125,-3.240030288696289,2.3543834686279297e-06,-1.9222564697265625,-2.8673505783081055,2.384185791015625e-07
30,1.7820532321929932,-1.722649097442627,5.960464477539063e-08,0.5421333312988281,6.102366924285889,5.662441253662109e-07,-8.118449211120605,5.130730628967285,6.258487701416016e-07,1.142179012298584,-3.3083295822143555,0.0,6.20977258682251,-0.41570234298706055,0.0,4.016610145568848,2.309265375137329,6.556510925292969e-07,287.6263732910156,-0.16826868057250977,4.172325134277344e-07,-0.7631244659423828,-2.9703688621520996,1.817941665649414e-06,-1.9004807472229004,-1.9363832473754883,1.7881393432617188e-07
31,1.993389368057251,-1.2781691551208496,8.940696716308594e-08,1.6628119945526123,5.588494300842285,5.960464477539062e-07,-8.424615859985352,4.691192150115967,5.662441253662109e-07,0.46227502822875977,-2.0325980186462402,0.0,6.4805145263671875,0.2963254451751709,0.0,3.7576727867126465,3.857975959777832,7.748603820800781e-07,-0.7987957000732422,2.4710326194763184,3.8743019104003906e-07,-1.01597261428833,-2.8349227905273438,1.6987323760986328e-06,-2.9753403663635254,-2.4907665252685547,1.7881393432617188e-07
32,-1.1106820106506348,538.0106201171875,2.384185791015625e-07,0.7785797119140625,5.276331901550293,6.258487701416016e-07,-7.625420570373535,5.023553848266602,9.834766387939453e-07,0.7807021141052246,-2.527827262878418,1.1920928955078125e-07,6.5900163650512695,0.547119140625,0.0,3.535309314727783,4.033362865447998,1.0728836059570312e-06,-1.1730308532714844,2.818610429763794,5.960464477539062e-07,-0.8171648979187012,-2.530820369720459,2.771615982055664e-06,-3.0667810440063477,-1.9542579650878906,2.086162567138672e-07
33,-0.6926107406616211,554.8750610351562,2.9802322387695312e-08,1.3560473918914795,6.694265365600586,4.76837158203125e-07,-8.106131553649902,4.477426052093506,5.364418029785156e-07,0.5648708343505859,-2.921165943145752,0.0,6.009428977966309,-0.3003120422363281,0.0,3.319790840148926,3.381136894226074,6.854534149169922e-07,-1.4540119171142578,2.3720269203186035,2.980232238769531e-07,0.38845014572143555,-3.168405055999756,1.4603137969970703e-06,-3.0431008338928223,-2.0491256713867188,5.960464477539063e-08
34,709.2276000976562,378.3188171386719,2.9802322387695312e-08,1.4115405082702637,6.237978458404541,3.8743019104003906e-07,-8.330849647521973,5.518970489501953,4.76837158203125e-07,0.8286600112915039,-3.3505444526672363,0.0,6.260629177093506,0.7443225383758545,0.0,3.214601993560791,2.214505434036255,1.0132789611816406e-06,-1.8711133003234863,2.5561776161193848,4.172325134277344e-07,0.23400068283081055,-3.262507915496826,1.6689300537109375e-06,-1.3347892761230469,-2.802971363067627,2.384185791015625e-07
35,1.829514980316162,-0.9726009368896484,5.960464477539063e-08,1.8075928688049316,5.700688362121582,1.4901161193847656e-06,-7.502418518066406,4.08531379699707,1.341104507446289e-06,0.9154236316680908,-1.8022665977478027,2.9802322387695312e-08,6.019891738891602,0.5590014457702637,0.0,3.5541999340057373,3.9635581970214844,1.9371509552001953e-06,-0.8839473724365234,2.3450279235839844,7.450580596923828e-07,-0.10955095291137695,-3.264007091522217,3.337860107421875e-06,-2.06746768951416,-2.2830753326416016,3.5762786865234375e-07
