scorer,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000,DLC_resnet152_t011222_colorDec2shuffle1_500000
bodyparts,wrist,wrist,wrist,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,0.0,0.0,2.9802322387695312e-08,1.283003330230713,5.172111511230469,6.258487701416016e-07,-7.248435020446777,4.2973504066467285,7.748603820800781e-07,0.540881872177124,-2.428426742553711,0.0,5.303988456726074,0.0,0.0,2.585767984390259,2.715832233428955,1.341104507446289e-06,-1.0817832946777344,2.1652770042419434,3.5762786865234375e-07,-0.17009258270263672,-2.796844482421875,1.6689300537109375e-06,-2.251296043395996,-1.8362798690795898,1.7881393432617188e-07
1,0.0,0.0,1.1920928955078125e-07,1.7123043537139893,5.372592926025391,8.344650268554688e-07,-7.3394317626953125,4.46579122543335,1.1920928955078125e-06,0.540881872177124,-2.428426742553711,2.9802322387695312e-08,5.643309593200684,0.008798360824584961,0.0,2.88832426071167,3.1256814002990723,1.0728836059570312e-06,-1.1753716468811035,2.1652770042419434,5.960464477539062e-07,-0.17009258270263672,-2.896296977996826,2.205371856689453e-06,-2.5255680084228516,-2.0382399559020996,1.1920928955078125e-07
2,1.1202740669250488,-1.5486855506896973,8.940696716308594e-08,1.7123043537139893,5.751333236694336,6.258487701416016e-07,-8.020723342895508,4.873204708099365,5.662441253662109e-07,0.917273998260498,-2.584536075592041,0.0,5.693175792694092,0.008798360824584961,0.0,2.88832426071167,3.1256814002990723,1.0132789611816406e-06,-1.3767776489257812,2.1652770042419434,4.76837158203125e-07,-0.17009258270263672,-3.036320686340332,2.5033950805664062e-06,-2.5255680084228516,-2.0382399559020996,5.960464477539063e-08
3,0.12239718437194824,123.48686981201172,5.960464477539063e-08,1.7123043537139893,6.023502349853516,8.940696716308594e-07,-8.020723342895508,4.873204708099365,1.3709068298339844e-06,0.8758988380432129,-2.584536075592041,2.9802322387695312e-08,5.693175792694092,0.03807425498962402,0.0,2.88832426071167,3.3567543029785156,1.1622905731201172e-06,-1.3767776489257812,2.1652770042419434,6.854534149169922e-07,-0.333676815032959,-3.036320686340332,2.682209014892578e-06,-2.5730791091918945,-2.2398438453674316,1.7881393432617188e-07
4,0.12239718437194824,123.48686981201172,5.960464477539063e-08,1.3674700260162354,6.023502349853516,7.152557373046875e-07,-7.91733455657959,4.810249328613281,7.748603820800781e-07,0.540881872177124,-2.3429532051086426,0.0,6.114089012145996,0.17469406127929688,0.0,3.1012420654296875,3.159306287765503,7.748603820800781e-07,-1.2358369827270508,2.4613828659057617,3.5762786865234375e-07,-0.1610550880432129,-2.896296977996826,1.7881393432617188e-06,-2.6238694190979004,-2.0382399559020996,1.4901161193847656e-07
5,1.9068810939788818,-1.0260534286499023,5.960464477539063e-08,1.2587995529174805,5.767916679382324,7.450580596923828e-07,-7.3394317626953125,4.810249328613281,9.834766387939453e-07,0.4340810775756836,-2.3429532051086426,2.9802322387695312e-08,6.114089012145996,0.03807425498962402,0.0,3.1012420654296875,3.2112457752227783,8.940696716308594e-07,-1.2358369827270508,2.099734306335449,5.066394805908203e-07,-0.1610550880432129,-2.896296977996826,1.4901161193847656e-06,-2.6780896186828613,-2.2398438453674316,1.4901161193847656e-07
6,1.9240190982818604,-1.0260534286499023,8.940696716308594e-08,1.2587995529174805,5.767916679382324,7.450580596923828e-07,-7.91733455657959,4.810249328613281,1.0132789611816406e-06,0.7136404514312744,-2.8550400733947754,0.0,6.114089012145996,0.03807425498962402,0.0,3.323617696762085,3.2012641429901123,8.344650268554688e-07,-1.2358369827270508,2.099734306335449,5.662441253662109e-07,-0.1610550880432129,-3.001739025115967,1.9073486328125e-06,-2.5730791091918945,-2.2398438453674316,8.940696716308594e-08
7,2.1764261722564697,495.5205993652344,5.960464477539063e-08,1.2587995529174805,6.130557060241699,6.258487701416016e-07,-7.400881767272949,4.639734745025635,9.834766387939453e-07,0.7136404514312744,-2.7544422149658203,0.0,6.470293998718262,0.15516448020935059,0.0,3.323617696762085,3.2112457752227783,9.834766387939453e-07,-1.0974540710449219,2.4613828659057617,5.662441253662109e-07,-0.7275166511535645,-2.7292566299438477,2.652406692504883e-06,-2.6780896186828613,-2.2398438453674316,1.4901161193847656e-07
8,2.1764261722564697,443.40399169921875,1.1682510375976562e-05,1.3674700260162354,5.767916679382324,6.258487701416016e-07,-7.540850639343262,4.639734745025635,5.960464477539062e-07,0.7136404514312744,-2.7544422149658203,0.0,6.124380588531494,0.2295699119567871,0.0,3.4321210384368896,3.2112457752227783,7.748603820800781e-07,-1.0088672637939453,2.5367631912231445,3.5762786865234375e-07,-0.592339038848877,-3.001739025115967,1.2218952178955078e-06,-2.730299949645996,-2.351573944091797,2.384185791015625e-07
9,368.9858093261719,443.40399169921875,2.384185791015625e-07,1.384892463684082,6.145543098449707,4.76837158203125e-07,-7.400881767272949,4.974954605102539,6.258487701416016e-07,0.7200007438659668,-2.7544422149658203,0.0,6.661581516265869,0.2295699119567871,0.0,3.649122953414917,3.3086600303649902,9.238719940185547e-07,-1.0088672637939453,2.5367631912231445,4.172325134277344e-07,-0.592339038848877,-3.001739025115967,1.5497207641601562e-06,-2.730299949645996,-2.351573944091797,1.7881393432617188e-07
10,370.8398742675781,443.40399169921875,5.960464477539063e-08,1.441147804260254,6.613530158996582,6.258487701416016e-07,-7.400881767272949,5.226529598236084,8.344650268554688e-07,0.7780764102935791,-2.512714385986328,2.9802322387695312e-08,6.812932968139648,0.25676679611206055,0.0,3.7463185787200928,3.911025285720825,1.341104507446289e-06,-1.0088672637939453,2.757786273956299,4.470348358154297e-07,-0.040635108947753906,-2.3276357650756836,1.996755599975586e-06,-2.007467746734619,-2.118044853210449,2.086162567138672e-07
11,414.4378356933594,365.0203857421875,6.109476089477539e-06,408.33111572265625,342.5826110839844,4.798173904418945e-06,414.1476135253906,341.145751953125,2.473592758178711e-06,413.2205810546875,330.60205078125,6.854534149169922e-07,410.9936828613281,329.9340515136719,3.814697265625e-06,408.09698486328125,331.8574523925781,9.495019912719727e-05,421.89227294921875,330.67926025390625,0.9944907426834106,456.6650695800781,345.19970703125,2.193450927734375e-05,408.2660827636719,330.9228210449219,4.32133674621582e-06
12,423.71234130859375,346.6983642578125,0.0003673136234283447,408.33111572265625,353.038818359375,0.0002212822437286377,414.1476135253906,352.82635498046875,6.321072578430176e-05,427.6711730957031,349.5690002441406,6.982684135437012e-05,411.155029296875,343.6656188964844,0.00018966197967529297,414.3988952636719,331.8574523925781,0.10917839407920837,427.8997497558594,330.67926025390625,0.9968695640563965,458.34619140625,345.19970703125,0.0007412135601043701,414.2726745605469,330.9228210449219,0.00011497735977172852
13,428.6329040527344,329.7107849121094,0.00029858946800231934,408.33111572265625,361.4513854980469,0.00046521425247192383,415.05731201171875,369.99365234375,0.00023052096366882324,428.2142639160156,364.4007873535156,0.00014966726303100586,412.6056823730469,361.6058044433594,0.00047022104263305664,419.9471130371094,331.8574523925781,0.9998947381973267,438.77935791015625,330.67926025390625,0.8547603487968445,483.19940185546875,345.19970703125,0.2442176342010498,418.0470275878906,346.55181884765625,0.00048786401748657227
14,428.6329040527344,329.7107849121094,0.0006809532642364502,394.18206787109375,359.2027282714844,0.038716644048690796,415.05731201171875,363.9156494140625,0.2279379665851593,433.42742919921875,378.27252197265625,0.061446696519851685,461.752197265625,389.85260009765625,0.0012734830379486084,420.9128723144531,316.1765441894531,0.999435305595398,439.5040283203125,314.3360900878906,0.9929718971252441,492.2763671875,329.0277404785156,0.05714213848114014,430.0850524902344,345.79949951171875,0.0006885826587677002
15,431.5801086425781,329.7107849121094,0.0004927515983581543,393.07012939453125,359.2027282714844,0.004348963499069214,415.05731201171875,363.9156494140625,0.015837371349334717,437.23065185546875,378.27252197265625,0.0029243528842926025,464.633544921875,389.85260009765625,0.027983874082565308,425.5665283203125,298.8938293457031,0.9999852180480957,467.22601318359375,299.8623046875,0.9998803734779358,499.55328369140625,312.8444519042969,0.9999794960021973,505.7623291015625,330.9228210449219,0.5358292460441589
16,431.5801086425781,354.5105895996094,0.0010993480682373047,392.55621337890625,359.2027282714844,0.7181776762008667,415.05731201171875,363.9156494140625,0.9203822612762451,440.2193603515625,378.27252197265625,0.8920342922210693,467.1456298828125,389.85260009765625,0.9848603010177612,430.85943603515625,283.2393798828125,0.9999045133590698,472.66741943359375,286.9546813964844,0.9999511241912842,502.9374084472656,298.51629638671875,0.9999960660934448,508.64892578125,329.51019287109375,0.9997609853744507
17,404.686279296875,387.3836669921875,0.0007442831993103027,393.07012939453125,343.6243896484375,0.008541911840438843,420.7076721191406,345.7353820800781,0.5308281779289246,441.16864013671875,365.7212829589844,0.9262686967849731,467.5438537597656,378.8414306640625,0.9990140795707703,430.94183349609375,270.221435546875,0.9999944567680359,473.515625,268.8039245605469,0.9999827146530151,503.2215881347656,279.761474609375,0.9998993873596191,510.5096435546875,329.51019287109375,0.9789630770683289
18,404.686279296875,387.3836669921875,0.0010088980197906494,393.07012939453125,336.1120300292969,0.9950918555259705,422.8686828613281,343.60052490234375,0.9991211891174316,442.5849609375,354.8040771484375,0.9965481758117676,467.5438537597656,365.91650390625,0.9998172521591187,431.1620788574219,254.56236267089844,0.9999921321868896,476.0234069824219,255.0543212890625,0.9999766945838928,507.6492614746094,266.0461730957031,0.9999959468841553,511.9715576171875,315.79632568359375,0.9996932148933411
19,419.1429138183594,355.1623229980469,0.0007458925247192383,401.2558898925781,319.80596923828125,0.4914913475513458,425.4971008300781,329.0074768066406,0.969630241394043,442.6601257324219,341.5456848144531,0.9674015045166016,470.8258056640625,356.3826904296875,0.9995421171188354,436.36370849609375,240.3696746826172,0.9999992251396179,482.9454040527344,237.36822509765625,0.999998927116394,511.4382019042969,253.6641082763672,0.9999978542327881,516.6132202148438,301.4454345703125,0.9999973773956299
20,418.94281005859375,355.1623229980469,0.004658699035644531,403.9649353027344,309.8074951171875,0.9970375299453735,426.5232849121094,319.215087890625,0.9917812347412109,448.5162048339844,334.44580078125,0.9970344305038452,472.60302734375,349.6070556640625,0.9999229907989502,440.11834716796875,226.8409881591797,0.9999995231628418,484.2428894042969,224.3081817626953,0.9999980330467224,515.4105224609375,241.8072509765625,0.9999995827674866,518.9236450195312,290.0474548339844,0.9999990463256836
21,419.1429138183594,354.4249572753906,0.0007911324501037598,408.7029724121094,302.8584289550781,0.9998618960380554,433.7519226074219,308.45037841796875,0.9999843835830688,454.8843994140625,320.31103515625,0.9997995495796204,480.7690734863281,337.8899230957031,0.9999748468399048,444.4023742675781,214.59902954101562,0.9999994039535522,487.1327819824219,211.3702392578125,0.9999978542327881,519.9837036132812,229.03843688964844,0.999999463558197,525.4090576171875,277.9696960449219,0.9999983310699463
22,421.4230041503906,354.4249572753906,0.007042557001113892,416.809814453125,291.19183349609375,0.7883561849594116,442.1065673828125,293.8403625488281,0.7369537949562073,463.8625183105469,305.518310546875,0.7959778904914856,491.1978454589844,324.5783386230469,0.9996308088302612,448.0731506347656,208.37054443359375,0.9999985694885254,491.0672912597656,203.27426147460938,0.9999916553497314,524.7153930664062,220.278564453125,0.9999974966049194,532.0189208984375,267.7525939941406,0.9999986886978149
23,422.1947326660156,354.4249572753906,0.0018133819103240967,420.2498474121094,290.16595458984375,0.9999603033065796,443.4496154785156,292.9429016113281,0.9996983408927917,467.8591003417969,301.5202331542969,0.9997481107711792,494.48834228515625,321.3739929199219,0.999979555606842,455.9545593261719,199.27743530273438,0.9999991655349731,500.1180725097656,193.9435272216797,0.9999989867210388,531.6173706054688,210.35665893554688,0.9999999403953552,537.0892333984375,263.14385986328125,0.9999948740005493
24,422.1947326660156,354.4249572753906,0.8575439453125,427.90399169921875,285.1157531738281,0.9990693926811218,452.6134033203125,288.741943359375,0.9999434947967529,475.1806945800781,294.2745666503906,0.9999861717224121,500.9426574707031,314.1274719238281,0.9999960660934448,465.5650939941406,192.62527465820312,0.9999994039535522,509.2335205078125,185.0583038330078,0.999991774559021,539.4088134765625,204.37608337402344,0.9999974966049194,543.5062866210938,258.1994934082031,0.999997615814209
25,436.4208984375,360.10333251953125,0.0028663575649261475,437.9969177246094,280.7672424316406,0.9999877214431763,461.1063537597656,284.4981689453125,0.9999353885650635,482.3939514160156,293.3376770019531,0.9999905228614807,507.1396789550781,312.3410949707031,0.9999927282333374,472.2760925292969,190.29209899902344,0.9999974966049194,517.5391845703125,180.7801971435547,0.9999997019767761,548.9251708984375,200.6525115966797,0.9999992847442627,553.4803466796875,251.50421142578125,0.999990701675415
26,436.4208984375,360.10333251953125,0.12433546781539917,450.30120849609375,280.47650146484375,0.9998936057090759,473.256591796875,280.8608093261719,0.999618649482727,495.3778991699219,289.6261901855469,0.9996579885482788,521.2492065429688,307.65948486328125,0.9999469518661499,481.7503967285156,186.64566040039062,0.9999973773956299,523.0059814453125,177.63661193847656,0.9999992847442627,553.9779052734375,197.2753448486328,0.9999998211860657,559.6905517578125,251.07046508789062,0.9999943971633911
27,456.5436706542969,357.2139892578125,0.00617554783821106,451.7773742675781,280.47650146484375,0.9999951124191284,477.31671142578125,280.8608093261719,0.9999618530273438,500.9136962890625,289.6261901855469,0.9999876618385315,525.8402099609375,307.65948486328125,0.9999954700469971,489.5807189941406,185.69337463378906,0.9999922513961792,525.4086303710938,172.61949157714844,0.9999874830245972,556.04736328125,192.41200256347656,0.9999992847442627,568.402099609375,249.37693786621094,0.9999931454658508
28,456.76641845703125,328.4123840332031,0.001193612813949585,466.7037353515625,278.4979553222656,0.9832607507705688,486.87115478515625,280.8608093261719,0.9997989535331726,506.87945556640625,288.13433837890625,0.9999193549156189,532.2947998046875,307.0116271972656,0.9999891519546509,495.6775207519531,185.69337463378906,0.999997079372406,526.3887329101562,171.59820556640625,0.9999927282333374,558.7919311523438,191.07077026367188,0.9999980926513672,573.0546264648438,248.9951934814453,0.9999785423278809
29,474.25335693359375,356.36376953125,0.21778589487075806,467.3729248046875,280.7672424316406,0.9999971389770508,488.01611328125,283.5171813964844,0.999985933303833,510.1782531738281,289.6261901855469,0.9999947547912598,532.9524536132812,307.65948486328125,0.9999995231628418,497.15753173828125,185.69337463378906,0.9999994039535522,527.803466796875,171.5376739501953,0.9999977350234985,559.3224487304688,188.54539489746094,0.9999986290931702,580.1032104492188,248.34030151367188,0.9999992251396179
30,480.0236511230469,328.4123840332031,0.036188334226608276,474.3264465332031,283.25823974609375,0.999987006187439,494.802978515625,286.1961975097656,0.9999524354934692,515.8151245117188,291.33221435546875,0.999981701374054,540.5374755859375,308.9311828613281,0.9999925494194031,499.8552551269531,186.22897338867188,0.9999997019767761,527.8535766601562,171.5376739501953,0.9999946355819702,560.6710205078125,187.74790954589844,0.9999997019767761,581.6151123046875,248.34030151367188,0.9999933242797852
31,474.25335693359375,356.36376953125,0.9999817609786987,475.8425598144531,286.4404296875,0.9999666810035706,496.7500915527344,288.9908447265625,0.9999966025352478,520.6932373046875,292.8484802246094,0.9999933242797852,544.0028686523438,309.6297607421875,0.9999992847442627,500.1523132324219,186.7744140625,0.9999995231628418,528.329833984375,171.59820556640625,0.9999945163726807,561.4429321289062,187.74790954589844,0.9999996423721313,582.3523559570312,248.9951934814453,0.9999973773956299
32,475.5306091308594,356.36376953125,0.04405823349952698,477.5915832519531,291.6622619628906,0.999982476234436,499.4595031738281,295.2726135253906,0.9998815655708313,522.2893676757812,299.626220703125,0.9990789294242859,544.9052124023438,313.625244140625,0.9995279312133789,500.8868103027344,189.5701904296875,0.9999996423721313,528.329833984375,171.71612548828125,0.9999949932098389,561.9701538085938,188.54539489746094,0.9999996423721313,583.0215454101562,249.01637268066406,0.9999955892562866
33,475.5306091308594,365.78643798828125,0.2182549238204956,477.92779541015625,294.30279541015625,0.9999753832817078,499.9306945800781,298.47222900390625,0.9999943971633911,522.9227905273438,302.0010070800781,0.9999312162399292,547.6263427734375,314.3096618652344,0.9999914169311523,500.95111083984375,192.7639923095703,0.9999998807907104,528.329833984375,175.1416473388672,0.999992847442627,561.4429321289062,188.74110412597656,0.9999992847442627,583.0215454101562,249.18350219726562,0.9999791383743286
34,480.0677185058594,365.78643798828125,0.997107982635498,482.7059631347656,296.1363525390625,0.9999947547912598,504.404052734375,299.659912109375,0.9999784827232361,526.679931640625,304.1695251464844,0.999921441078186,551.0924682617188,317.0196228027344,0.9999526739120483,501.3484191894531,194.0884246826172,0.9999997615814209,529.5057373046875,175.6123809814453,0.9999967813491821,561.4429321289062,190.2936553955078,0.9999992847442627,583.0215454101562,250.9125518798828,0.9999958276748657
35,479.2945251464844,368.1479187011719,0.9985326528549194,483.4892578125,296.4107666015625,0.9999958872795105,504.6651611328125,300.3294372558594,0.9999921917915344,528.2692260742188,304.5023498535156,0.9999802112579346,551.337890625,318.18060302734375,0.9999880790710449,501.4488525390625,197.09336853027344,1.0,529.5057373046875,176.8169403076172,0.9999996423721313,561.4429321289062,191.00341796875,0.9999997019767761,582.94873046875,250.9125518798828,0.9999940395355225
36,480.0677185058594,368.1479187011719,0.000845789909362793,484.669677734375,298.09844970703125,0.9999958276748657,505.19573974609375,300.72003173828125,0.9999842643737793,528.2692260742188,304.7577209472656,0.9998805522918701,551.9497680664062,321.71649169921875,0.9997777938842773,501.9431457519531,197.75289916992188,1.0,529.60693359375,176.8169403076172,0.9999982714653015,561.6132202148438,191.10438537597656,0.9999996423721313,582.7433471679688,251.3190155029297,0.9999978542327881
37,480.4193420410156,368.1479187011719,0.9999372959136963,486.3849792480469,298.3998718261719,0.9999969601631165,505.6937561035156,300.73846435546875,0.9999942779541016,528.5445556640625,305.5682067871094,0.9999954104423523,552.0128784179688,322.03680419921875,0.9999889135360718,501.4488525390625,197.75289916992188,0.9999998807907104,529.5057373046875,177.0918731689453,0.9999990463256836,561.423583984375,191.47323608398438,0.9999997615814209,582.4158935546875,251.3190155029297,0.9999967813491821
38,481.1779479980469,374.278076171875,0.09308820962905884,486.45977783203125,298.3998718261719,0.9999974966049194,508.32958984375,300.73846435546875,0.999982476234436,528.7122192382812,306.5690612792969,0.999964714050293,553.5491333007812,322.5135192871094,0.9999747276306152,501.9431457519531,197.99644470214844,1.0,529.6121215820312,177.76927185058594,0.9999992847442627,561.423583984375,193.2174530029297,0.9999998807907104,582.4158935546875,251.3253631591797,0.999998152256012
