EDfile_name,index_events_code_start,index_events_code_end,failed/non_failed,update/non-update,id_target,id_update,bhvStat1,failed/non_failed,id_target,id_update,trial_mode,start_of_pre_cue,last_enter_to_target,cue_onset,go_signal,trial_jump,move_onset,in_periphery,end_of_hold,reward,end_of_trial
t5601ee.1.mat,67,68,0,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,69,70,0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,71,72,0,1,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,73,74,1,2,2,NaN,27,2,2,NaN,206.2371,206.4846,206.9459,207.4769,208.1095,NaN,208.211,208.578,208.9923,208.693,208.9957,208.2019
t5601ee.1.mat,75,76,1,2,8,NaN,28,2,8,NaN,210.17,210.4036,212.1274,212.688,213.4551,NaN,213.6559,213.9234,214.3423,214.0387,214.3456,213.672
t5601ee.1.mat,77,78,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,79,80,0,2,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,81,82,1,1,2,1,29,1,2,1,230.4617,230.7186,231.3927,231.9559,232.7392,232.8048,232.9907,233.3259,232.8048,238.735,239.0412,233.0649
t5601ee.1.mat,83,84,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,85,86,0,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,87,88,1,2,8,NaN,30,2,8,NaN,251.2545,251.5169,256.3728,256.9685,257.8023,NaN,257.8523,258.0871,258.5053,258.2023,258.5089,257.8415
t5601ee.1.mat,89,90,0,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,91,92,0,1,5,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,93,94,1,2,6,NaN,31,2,6,NaN,274.5503,274.8127,274.8341,275.4207,276.1038,NaN,276.9715,277.2062,277.6255,277.3219,277.6287,276.9267
t5601ee.1.mat,95,96,0,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,97,98,1,2,7,NaN,32,2,7,NaN,282.18,282.442,283.567,284.1458,284.8802,NaN,285.3977,285.548,285.9664,285.6631,285.9698,285.3318
t5601ee.1.mat,99,100,1,2,2,NaN,33,2,2,NaN,287.1458,287.4079,287.8964,288.4258,289.228,NaN,289.5106,289.729,290.1486,289.844,290.1518,289.4778
t5601ee.1.mat,101,102,0,1,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,103,104,0,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,105,106,0,2,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,107,108,0,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
t5601ee.1.mat,109,110,1,2,1,NaN,34,2,1,NaN,322.1132,322.3629,322.7677,323.347,324.1479,NaN,328.3456,328.4134,328.9124,328.6111,328.9147,324.302
t5601ee.1.mat,111,112,1,1,1,3,35,1,1,3,330.0827,330.3424,332.8444,333.3723,334.0578,334.086,334.9896,335.4584,334.086,335.5734,335.8831,334.9663
