scorer,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000
bodyparts,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,412.5869445800781,358.2245788574219,0.9999173879623413,429.3691101074219,355.5345764160156,0.9999401569366455,450.2386169433594,358.8638610839844,0.9998692274093628,475.4477844238281,375.3532409667969,0.9998596906661987,424.89739990234375,265.10760498046875,0.999970555305481,448.4375915527344,240.0250701904297,0.9999674558639526,473.45721435546875,244.67039489746094,0.9999711513519287,498.5235900878906,295.00439453125,0.9999854564666748
1,413.5887451171875,359.29644775390625,0.9999779462814331,429.6252136230469,356.5252990722656,0.9999871253967285,450.2386169433594,361.90460205078125,0.9999223947525024,475.4477844238281,377.9425964355469,0.9998855590820312,424.89739990234375,267.4151916503906,0.9999849796295166,448.67791748046875,241.74122619628906,0.9999760389328003,474.594970703125,244.80116271972656,0.9999531507492065,498.8589782714844,297.43548583984375,0.9999797344207764
2,413.5887451171875,360.0105895996094,0.9999284744262695,429.6252136230469,357.8802185058594,0.9999793767929077,450.2386169433594,362.6686706542969,0.9999017715454102,475.4477844238281,381.0135192871094,0.999882698059082,425.2734375,269.0873718261719,0.9999823570251465,449.24609375,242.55767822265625,0.9999873638153076,474.97821044921875,246.19998168945312,0.9999340772628784,499.7832946777344,298.1425476074219,0.9999812841415405
3,413.5887451171875,359.29644775390625,0.9999606609344482,429.6252136230469,357.8802185058594,0.9999762773513794,450.2386169433594,362.6686706542969,0.9999490976333618,475.4477844238281,381.0135192871094,0.99992835521698,425.2734375,269.5120849609375,0.9999921321868896,449.24609375,242.92929077148438,0.9999804496765137,474.97821044921875,246.286376953125,0.999974250793457,499.9200439453125,299.015869140625,0.9999891519546509
4,413.5887451171875,361.5851135253906,0.9999092817306519,429.7670593261719,358.32830810546875,0.9999256134033203,450.9481506347656,363.46002197265625,0.9997509121894836,475.3736572265625,379.4745788574219,0.9997689127922058,425.5555419921875,269.5120849609375,0.9999793767929077,449.32611083984375,244.19085693359375,0.9999778270721436,474.97821044921875,247.20494079589844,0.9999641180038452,499.9200439453125,299.6081848144531,0.9999860525131226
5,413.5167541503906,361.63671875,0.999976634979248,429.7670593261719,358.60662841796875,0.9999806880950928,450.5302429199219,364.9053039550781,0.9999325275421143,475.3563232421875,380.9607238769531,0.9998968839645386,425.5785827636719,269.5120849609375,0.9999792575836182,449.4233703613281,244.44126892089844,0.9999897480010986,474.97821044921875,247.73287963867188,0.9999423027038574,500.0769958496094,299.9711608886719,0.9999866485595703
6,413.5167541503906,362.250732421875,0.9999219179153442,430.01812744140625,358.6441345214844,0.9999759197235107,450.9481506347656,363.46002197265625,0.9999604225158691,475.3736572265625,380.7902526855469,0.9999449253082275,425.6495666503906,269.5120849609375,0.9999798536300659,449.4233703613281,244.56683349609375,0.9999866485595703,474.6678161621094,248.32420349121094,0.9998903274536133,500.0769958496094,301.77813720703125,0.9999831914901733
7,413.5167541503906,362.250732421875,0.9999595880508423,430.01812744140625,358.6441345214844,0.9999651908874512,450.9481506347656,363.46002197265625,0.9999523162841797,475.47564697265625,380.7902526855469,0.9999427795410156,426.0095520019531,269.5748291015625,0.9999818801879883,449.51934814453125,244.91085815429688,0.9999889135360718,474.6678161621094,248.32420349121094,0.99996018409729,500.0769958496094,301.7856750488281,0.9999810457229614
8,413.05047607421875,363.6921081542969,0.9998927116394043,429.0682373046875,360.66644287109375,0.9999704360961914,450.5302429199219,364.9771423339844,0.9999501705169678,475.45086669921875,380.9607238769531,0.9999369382858276,426.0095520019531,270.1977233886719,0.9999747276306152,449.51934814453125,245.50704956054688,0.999982476234436,474.6678161621094,248.82781982421875,0.9999051094055176,499.5851745605469,302.0392150878906,0.9999698400497437
9,412.9386901855469,363.6921081542969,0.9999487400054932,429.0682373046875,360.7977294921875,0.9999674558639526,450.5302429199219,365.4603576660156,0.999956488609314,475.45086669921875,381.6781005859375,0.9999589920043945,426.0705871582031,271.7293701171875,0.9999797344207764,449.4233703613281,246.20260620117188,0.9999887943267822,474.9395446777344,248.82781982421875,0.9999513626098633,499.99212646484375,302.6949462890625,0.9999850988388062
10,413.05047607421875,363.6373596191406,0.9999521970748901,430.1141357421875,361.1461181640625,0.999955415725708,450.2608337402344,365.4603576660156,0.9999525547027588,475.45086669921875,381.6781005859375,0.9999697208404541,426.1627197265625,273.7831115722656,0.9999877214431763,449.6371765136719,246.20260620117188,0.9999797344207764,474.9395446777344,249.0997314453125,0.999925971031189,499.6529235839844,303.3026123046875,0.9999793767929077
11,412.9386901855469,365.4031982421875,0.9999330043792725,429.4381408691406,361.6989440917969,0.9999417066574097,450.2297668457031,365.5955505371094,0.9999723434448242,474.64385986328125,382.0181884765625,0.9999483823776245,426.67205810546875,273.7831115722656,0.9999908208847046,449.8086242675781,247.19203186035156,0.9999452829360962,474.9395446777344,249.9420623779297,0.9999382495880127,499.6529235839844,303.3026123046875,0.9999788999557495
