id,recording_day,file_number,trial_number_in_file,start_move_in_seconds,stop_turn_in_seconds
511,32,12,83,0.8156799790191728,1.2610699188467949
512,32,12,84,0.835686654738579,
513,32,12,85,0.7958771526088405,
514,32,12,86,0.9289206619769483,
515,32,12,87,0.9822279637329088,
516,32,12,88,1.5549302949072756,1.7820348090231777
518,32,12,90,0.8422212598797597,
522,32,12,94,1.320514516916566,
524,32,12,96,1.1353117846631826,
525,32,12,97,1.3254794316265377,
529,32,12,101,3.6987901326401516,
532,32,12,104,1.2447918880333038,1.6068737848669308
533,32,12,105,0.934398147052506,
534,32,12,106,1.2108785476529333,
535,32,12,107,1.2906179746858732,
536,32,12,108,1.2840774048345263,
538,32,12,110,0.9202981179324178,
539,32,12,111,0.8588440597689134,
540,32,12,112,0.7851551163666947,
541,32,12,113,1.4800707448899506,
542,32,12,114,1.0480083664942166,
543,32,12,115,1.624732179454285,
544,32,12,116,1.073791731959591,
546,32,12,118,1.4796145795282865,
549,32,12,121,1.2588766775366709,
551,32,12,123,1.1218370340407091,
554,32,12,126,1.7608807952230947,
557,32,12,129,1.2444364976541868,
558,32,12,130,1.6904835438322983,1.9172237342190743
559,32,12,131,1.241660332861395,
560,32,12,132,0.9318584926233782,
563,32,12,135,0.7568541258986354,1.121239054955847
564,32,12,136,1.4184557836997347,
565,32,12,137,0.8611259278774245,
566,32,12,138,1.238154632674342,
567,32,12,139,0.9583246024864414,
568,32,12,140,0.9916136735704761,1.5563120646191095
569,32,12,141,0.7841817409883851,
571,32,12,143,0.7933502021924358,
572,32,12,144,0.8191335845548089,
574,32,13,1,2.6022821266094605,
576,32,13,3,1.0998925361257774,
578,32,13,5,1.6721895787937926,
579,32,13,6,0.8274268855537468,
580,32,13,7,1.078643902266923,
581,32,13,8,1.2232503554473795,
583,32,13,10,1.5409963698203821,
584,32,13,11,1.3347297989177644,
585,32,13,12,1.2281344851252427,
586,32,13,13,0.7967049684595306,
587,32,13,14,0.8276784275542213,
589,32,13,16,0.8577085721972618,
590,32,13,17,0.8068573437939647,
591,32,13,18,1.2415106968156997,
592,32,13,19,1.4403099191549418,1.6298213385450844
594,32,13,21,1.2896047786986913,
595,32,13,22,0.8840914053112251,
597,32,13,24,0.8740499165379962,1.2211499318027463
599,32,13,26,0.9493432331334166,
600,32,13,27,1.3501262936097338,
601,32,13,28,1.1807336968764595,
602,32,13,29,0.8380846782264098,1.2234153062391275
603,32,13,30,0.8766810542932079,
604,32,13,31,1.2677564498817844,
605,32,13,32,0.846796879035085,
606,32,13,33,0.9757805600889021,
607,32,13,34,0.9846455882823477,1.3068228716945651
609,32,13,36,1.2197588590815738,
611,32,13,38,1.1104961858540718,
612,32,13,39,0.8055501378476477,
614,32,14,1,8.282228159116878,
616,32,14,3,1.3848432317721873,
617,32,14,4,1.1831202512902015,
618,32,14,5,1.1363173038554206,
619,32,14,6,1.2351197323951124,
620,32,14,7,1.5357788663645149,
621,32,14,8,1.028133223152157,
622,32,14,9,1.1022705564301443,
623,32,14,10,0.7489963231624711,
624,32,14,11,1.7809148827967025,
625,32,14,12,0.8457944429910922,1.1099735008633138
627,32,14,14,1.172970323812891,
628,32,14,15,0.8404497141969961,
629,32,14,16,1.1069970548153019,
631,32,14,18,0.8019622696915281,
632,32,14,19,0.7847489907063462,
633,32,14,20,0.7429917304289371,
636,32,14,23,1.251991237496131,
639,32,14,26,1.2062762321193452,
646,32,14,33,1.2513998475576915,
647,32,14,34,0.7793524991489907,
650,32,14,37,1.461575777845383,1.7323837135073503
652,32,14,39,1.7221559991278301,
653,32,14,40,0.9438650969286955,
654,32,14,41,1.1887307043378208,
655,32,14,42,1.6648772463618344,2.1186452550062644
656,32,14,43,0.9927328077132958,
657,32,14,44,1.3586843521702403,
658,32,14,45,0.8593705250886093,
660,32,14,47,1.5061606577799402,1.8846948097354144
663,32,15,2,0.8864300637658707,
664,32,15,3,0.7717240174949147,
667,32,15,6,0.8392212165695394,1.2161192877155513
668,32,15,7,1.2856189859151854,
669,32,15,8,0.8680173615646366,
670,32,15,9,0.7972011269939002,
671,32,15,10,1.3911166879314234,
673,32,15,12,1.7119795938115545,
680,32,15,19,1.6157901861217612,
681,32,15,20,1.2865123497233495,
683,32,15,22,0.8919096257007094,
686,32,15,25,0.8609760203223079,
687,32,15,26,1.6199096024173512,
688,32,15,27,1.3249985230636696,
690,32,15,29,0.8610651591300901,
691,32,15,30,0.8186601252624197,
694,32,15,33,1.3451040897813633,
695,32,15,34,1.0430140420612866,
696,32,15,35,0.814911912588615,
697,32,15,36,0.8156718964456032,1.3128269584786918
698,32,15,37,0.8307080381479848,
699,32,15,38,0.7875622518170642,
700,32,15,39,0.8176762099307725,
701,32,15,40,1.222883508880737,
702,32,15,41,0.7693202191221165,1.1395256051343843
704,32,15,43,1.1928613159182542,
706,32,15,45,1.3974366246032899,
707,32,15,46,1.242819008673284,1.581147960476881
708,32,15,47,0.9184521295368597,
709,32,15,48,1.320726883778596,
710,32,15,49,1.5723945128429813,
712,32,15,51,1.3424750024610232,1.7279953531569403
713,32,15,52,1.0573129289543635,
715,32,15,54,0.8186193155890044,
717,32,15,56,1.1150617891129864,
720,32,15,59,0.7907058093831001,
721,32,15,60,1.122846651091589,
722,32,15,61,0.795474133378573,1.1899080277740988
723,32,15,62,1.3536070276087573,
724,32,15,63,1.3850070349678276,
725,32,15,64,0.7700002011543345,
727,32,15,66,6.549544891131107,6.9573102198106325
728,32,15,67,0.786202647466644,
729,32,15,68,0.8601943970656378,
731,32,15,70,1.2642116849916996,
732,32,15,71,0.8750732390594829,
733,32,15,72,0.723488334122655,
734,32,15,73,1.2769882459044197,
735,32,15,74,1.552553642238411,
736,32,15,75,0.8738489756393376,
739,32,15,78,8.287132470177404,
740,32,15,79,2.344147637289427,
