scorer,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000
bodyparts,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,514.8154296875,341.53521728515625,0.999993085861206,530.2841796875,341.2154235839844,0.9999949932098389,551.8739624023438,348.3781433105469,0.9998675584793091,579.0390625,368.86785888671875,0.9999722242355347,528.6393432617188,234.4340362548828,0.9999926090240479,559.4087524414062,219.4033203125,0.9999638795852661,586.1625366210938,232.89735412597656,0.999887228012085,613.1766967773438,290.2171630859375,0.9999847412109375
1,515.1526489257812,341.53521728515625,0.9999903440475464,531.092041015625,341.49578857421875,0.9999921321868896,553.56787109375,349.3103332519531,0.9999562501907349,580.5162353515625,370.63238525390625,0.9999727010726929,529.8480224609375,235.18218994140625,0.9999890327453613,559.5076293945312,219.5880584716797,0.9999847412109375,586.1625366210938,232.89735412597656,0.9998581409454346,613.58056640625,292.4888000488281,0.9999867677688599
2,515.5758056640625,341.57080078125,0.999991774559021,531.092041015625,342.1713562011719,0.9999890327453613,554.2373657226562,350.24969482421875,0.9998218417167664,580.8150634765625,370.63238525390625,0.9999662637710571,530.31787109375,235.31541442871094,0.9999945163726807,559.5076293945312,220.36074829101562,0.9999743700027466,586.7675170898438,233.08518981933594,0.9998736381530762,613.58056640625,292.6366271972656,0.9999719858169556
3,515.5758056640625,342.056640625,0.999995231628418,531.092041015625,342.256103515625,0.9999936819076538,554.2373657226562,350.7930908203125,0.999937891960144,580.8150634765625,370.63238525390625,0.999974250793457,530.31787109375,235.7004852294922,0.9999939203262329,560.20703125,220.36082458496094,0.9999768733978271,586.7675170898438,233.7462615966797,0.9998455047607422,613.1935424804688,294.06036376953125,0.9999762773513794
4,515.5758056640625,342.29608154296875,0.9999916553497314,530.9998779296875,343.0043029785156,0.9999942779541016,553.56787109375,352.28643798828125,0.9999459981918335,580.5162353515625,371.79034423828125,0.9999692440032959,530.31787109375,235.31541442871094,0.9999959468841553,560.1887817382812,220.36082458496094,0.9999744892120361,586.7675170898438,233.7462615966797,0.9998794794082642,613.58056640625,294.06036376953125,0.9999806880950928
5,515.9868774414062,342.29608154296875,0.9999840259552002,530.9998779296875,342.256103515625,0.9999903440475464,554.2373657226562,351.05560302734375,0.9998477697372437,580.5162353515625,370.784912109375,0.999932050704956,530.0533447265625,235.31541442871094,0.9999926090240479,560.20703125,220.36074829101562,0.9999823570251465,586.7675170898438,233.94113159179688,0.9998835325241089,613.58056640625,294.06036376953125,0.9999865293502808
6,515.5758056640625,342.4029541015625,0.9999916553497314,530.8250732421875,343.4163818359375,0.9999898672103882,553.53271484375,352.28643798828125,0.9998586177825928,579.947265625,371.79034423828125,0.9999711513519287,530.0533447265625,235.31170654296875,0.9999946355819702,560.5765380859375,220.36074829101562,0.999985933303833,586.7675170898438,234.822265625,0.9999042749404907,613.7960205078125,294.05877685546875,0.9999852180480957
7,515.0687255859375,342.4029541015625,0.9999920129776001,530.8250732421875,343.4163818359375,0.9999916553497314,553.3441772460938,352.28643798828125,0.999934196472168,579.7302856445312,371.79034423828125,0.9999786615371704,529.9144287109375,235.3016815185547,0.9999934434890747,560.6760864257812,220.35548400878906,0.9999873638153076,586.8265991210938,235.29074096679688,0.9999198913574219,613.8140869140625,294.05877685546875,0.9999817609786987
8,514.82177734375,342.4029541015625,0.9999842643737793,530.8250732421875,343.4163818359375,0.9999861717224121,553.3441772460938,352.28643798828125,0.9998875856399536,579.7302856445312,371.79034423828125,0.9999834299087524,529.8607788085938,235.3016815185547,0.9999938011169434,560.6760864257812,220.35548400878906,0.9999808073043823,586.8265991210938,236.3889617919922,0.9998762607574463,613.8140869140625,294.05877685546875,0.9999814033508301
9,514.4896240234375,341.7624206542969,0.9999939203262329,529.9567260742188,342.0318603515625,0.999994158744812,552.4979858398438,351.17486572265625,0.9998401403427124,579.2802734375,370.919677734375,0.9999833106994629,529.8607788085938,235.31170654296875,0.9999929666519165,560.6760864257812,220.4740447998047,0.9999836683273315,586.7234497070312,236.3889617919922,0.9998935461044312,613.8140869140625,294.3237609863281,0.999975323677063
10,514.4896240234375,342.7637023925781,0.9999785423278809,529.9567260742188,344.2112731933594,0.9999792575836182,551.6887817382812,352.4825439453125,0.9999033212661743,579.1881103515625,372.2749938964844,0.999953031539917,529.8607788085938,235.78762817382812,0.999991774559021,560.4310913085938,220.70684814453125,0.9999812841415405,587.1617431640625,236.3889617919922,0.9998897314071655,613.7960205078125,294.6410217285156,0.9999758005142212
11,514.0890502929688,341.7624206542969,0.9999855756759644,529.2484741210938,342.0318603515625,0.9999892711639404,551.5652465820312,351.17486572265625,0.9998530149459839,577.863037109375,372.91943359375,0.9999752044677734,529.751953125,235.83834838867188,0.9999961853027344,560.331298828125,220.4740447998047,0.9999814033508301,587.272705078125,235.48497009277344,0.9998892545700073,613.7579956054688,295.0606994628906,0.9999637603759766
