scorer,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000,DLC_resnet152_t-rest-colorJul19shuffle1_750000
bodyparts,base2,base2,base2,base3,base3,base3,base4,base4,base4,base5,base5,base5,tip2,tip2,tip2,tip3,tip3,tip3,tip4,tip4,tip4,tip5,tip5,tip5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,425.3601989746094,346.2822265625,0.9999226331710815,441.8467102050781,343.8256530761719,0.9999819993972778,462.70123291015625,345.7670593261719,0.9999459981918335,487.5777893066406,361.9024353027344,0.9999535083770752,435.12310791015625,257.621826171875,0.9999982118606567,459.6605224609375,231.5550079345703,0.9999901056289673,485.1018981933594,236.9965057373047,0.99998939037323,506.78631591796875,286.2353515625,0.999972939491272
1,425.3601989746094,347.87542724609375,0.9999167919158936,441.9800109863281,344.49798583984375,0.9999606609344482,463.48944091796875,348.263671875,0.9999573230743408,487.5777893066406,365.3341979980469,0.9998918771743774,435.38818359375,259.0701599121094,0.9999980926513672,459.8878173828125,232.40963745117188,0.9999634027481079,485.20440673828125,237.08901977539062,0.9999819993972778,508.0272521972656,288.404541015625,0.9999308586120605
2,425.3601989746094,350.689453125,0.999915361404419,441.9800109863281,345.9035949707031,0.9999547004699707,463.48944091796875,349.6837158203125,0.9999194145202637,487.61474609375,365.3341979980469,0.9998836517333984,435.633544921875,259.0701599121094,0.9999970197677612,459.8878173828125,233.34194946289062,0.9999706745147705,485.20440673828125,237.54180908203125,0.9999871253967285,508.2136535644531,288.6517639160156,0.9999750852584839
3,425.3601989746094,350.689453125,0.9998875856399536,441.9800109863281,345.9035949707031,0.9999620914459229,463.9943542480469,349.6837158203125,0.9999539852142334,487.8359680175781,365.0167541503906,0.9999191761016846,435.633544921875,259.4744567871094,0.9999978542327881,460.2822265625,233.96681213378906,0.9999816417694092,485.20440673828125,237.8394012451172,0.9999841451644897,508.41143798828125,288.66180419921875,0.9999780654907227
4,425.3601989746094,350.9244384765625,0.9999351501464844,442.94207763671875,346.88616943359375,0.9999178647994995,464.058837890625,349.6837158203125,0.9999605417251587,487.8359680175781,365.4948425292969,0.9999086856842041,435.3017272949219,259.85040283203125,0.9999978542327881,460.2822265625,233.34194946289062,0.9999582767486572,485.20440673828125,237.8394012451172,0.9999836683273315,508.41143798828125,288.66180419921875,0.999972939491272
5,426.68719482421875,350.689453125,0.9999170303344727,442.94207763671875,346.185302734375,0.999956488609314,464.058837890625,349.2388000488281,0.9999474287033081,487.8359680175781,365.0167541503906,0.9999294281005859,435.633544921875,260.95068359375,0.999997615814209,460.5465087890625,233.96681213378906,0.9999483823776245,485.0559387207031,237.97166442871094,0.9999868869781494,508.4220275878906,288.6517639160156,0.9999797344207764
6,426.68719482421875,350.30206298828125,0.9997997879981995,442.6978454589844,345.9035949707031,0.9999594688415527,464.058837890625,348.5224914550781,0.9999350309371948,488.1631774902344,364.78094482421875,0.9999432563781738,435.5545654296875,260.95068359375,0.9999980926513672,459.9931335449219,234.5030059814453,0.9999741315841675,485.0559387207031,237.97166442871094,0.9999853372573853,508.4220275878906,288.6517639160156,0.9999736547470093
7,426.68719482421875,350.30206298828125,0.9999139308929443,442.6978454589844,346.185302734375,0.9999545812606812,464.058837890625,348.5224914550781,0.9999593496322632,487.8359680175781,364.78094482421875,0.999894380569458,435.5545654296875,260.95068359375,0.9999980926513672,460.2625427246094,234.5030059814453,0.9999558925628662,485.0559387207031,238.208251953125,0.9999774694442749,508.0905456542969,289.72467041015625,0.999961256980896
8,426.68719482421875,351.5160827636719,0.9999370574951172,442.6978454589844,346.88616943359375,0.9999488592147827,463.69293212890625,348.9465026855469,0.9999467134475708,488.2157287597656,364.78094482421875,0.9999297857284546,435.5545654296875,260.95068359375,0.9999979734420776,460.2625427246094,234.5030059814453,0.9999638795852661,485.0601501464844,238.23153686523438,0.9999804496765137,508.0905456542969,289.9374084472656,0.9999798536300659
9,425.5819091796875,351.5160827636719,0.9999758005142212,442.43023681640625,347.0184326171875,0.9999617338180542,463.69293212890625,348.9465026855469,0.9999567270278931,488.2157287597656,364.78094482421875,0.9999459981918335,435.5545654296875,261.0146789550781,0.9999984502792358,460.2625427246094,234.84909057617188,0.9999661445617676,484.67144775390625,238.81431579589844,0.999984860420227,508.465576171875,289.9374084472656,0.9999843835830688
10,424.7354431152344,352.8602294921875,0.9998961687088013,442.3633728027344,347.35498046875,0.9999687671661377,463.69293212890625,350.7897033691406,0.9999312162399292,486.92333984375,365.8006591796875,0.9999102354049683,435.2338562011719,261.48486328125,0.9999970197677612,459.9931335449219,234.9661102294922,0.9999613761901855,484.53326416015625,239.09059143066406,0.9999794960021973,508.11041259765625,289.98681640625,0.9999812841415405
11,424.0985107421875,353.2652282714844,0.9999029636383057,440.9708251953125,348.78399658203125,0.9999562501907349,461.8953552246094,351.51251220703125,0.9999343156814575,486.8172302246094,366.30169677734375,0.9999266862869263,435.2338562011719,261.48486328125,0.9999960660934448,459.77972412109375,235.79412841796875,0.999956488609314,484.30963134765625,239.09059143066406,0.9999759197235107,508.54351806640625,289.98681640625,0.999980092048645
